X1,X2,X3,X4,X5,X6:,X7:,ANG,AVG,RIP,COG
25,130,2,1,0.5,10,8,-44.0,-1822.0,71.93,19.99
24,110,1,2,0.5,12,14,-37.0,-1794.18,42.88,20.03
20,150,1,3,0.5,13,12,-46.0,-1472.1,30.61,19.85
25,150,1,1,1.0,15,6,-32.0,-2042.06,39.46,20.06
18,120,1,3,0.5,15,16,-43.0,-1408.64,41.03,18.76
24,150,1,2,0.5,11,16,-31.0,-2003.9,31.96,20.0
22,150,1,3,0.5,13,8,-45.0,-1513.14,33.3,19.73
19,150,1,3,0.5,14,8,-48.0,-1408.63,24.03,20.13
25,150,2,1,0.5,10,10,-43.0,-1942.65,65.76,20.2
22,120,1,3,0.5,15,12,-43.0,-1687.58,44.51,18.88
25,120,1,2,0.5,15,6,-44.0,-1849.4,46.22,20.15
21,150,1,3,0.5,15,8,-46.0,-1581.73,36.53,18.99
24,120,1,2,0.5,11,16,-34.0,-1864.48,34.88,20.03
24,110,2,1,0.5,15,8,-39.0,-1885.36,60.7,18.98
22,150,1,3,0.5,13,14,-36.0,-1663.14,37.0,20.27
25,120,1,2,0.5,11,14,-37.0,-1876.84,37.69,20.32
20,150,2,2,0.5,15,16,-35.0,-2027.65,53.23,19.04
22,150,1,1,0.5,15,12,-31.0,-2072.63,44.05,19.08
24,150,1,2,0.5,11,8,-45.0,-1759.03,47.17,19.91
22,130,1,3,0.5,15,8,-46.0,-1601.88,42.97,18.71
25,140,2,1,0.5,10,12,-41.0,-1939.66,62.39,19.96
25,140,1,2,0.5,15,6,-41.0,-1959.01,43.9,20.08
24,140,1,2,0.5,15,8,-40.0,-1944.96,46.44,19.02
22,100,1,3,0.5,14,14,-43.0,-1593.94,40.42,19.88
22,150,1,3,0.5,13,16,-33.0,-1744.66,39.79,19.88
25,150,2,1,0.5,10,12,-40.0,-2005.13,61.59,19.98
